"","Player","From","To","plyrprofs"
"206","Cory Higgins",2012,2013,"/players/h/higgico01.html"
"207","Earle Higgins",1971,1971,"/players/h/higgiea01.html"
"208","Mike Higgins",1990,1991,"/players/h/higgimi01.html"
"209","Rod Higgins",1983,1995,"/players/h/higgiro01.html"
"210","Sean Higgins",1991,1998,"/players/h/higgise01.html"
"211","Kenny Higgs",1979,1982,"/players/h/higgske01.html"
"212","Johnny High",1980,1984,"/players/h/highjo01.html"
"213","Haywood Highsmith",2019,2019,"/players/h/highsha01.html"
"214","Wayne Hightower",1963,1972,"/players/h/hightwa01.html"
"215","Nenê Hilário",2003,2019,"/players/h/hilarne01.html"
"216","Armond Hill",1977,1984,"/players/h/hillar01.html"
"217","Cleo Hill",1962,1962,"/players/h/hillcl01.html"
"218","Gary Hill",1964,1965,"/players/h/hillga01.html"
"219","George Hill",2009,2020,"/players/h/hillge01.html"
"220","Grant Hill*",1995,2013,"/players/h/hillgr01.html"
"221","Jordan Hill",2010,2017,"/players/h/hilljo01.html"
"222","Simmie Hill",1970,1974,"/players/h/hillsi01.html"
"223","Solomon Hill",2014,2020,"/players/h/hillso01.html"
"224","Steven Hill",2009,2009,"/players/h/hillst01.html"
"225","Tyrone Hill",1991,2004,"/players/h/hillty01.html"
"226","Art Hillhouse",1947,1948,"/players/h/hillhar01.html"
"227","Darrun Hilliard",2016,2018,"/players/h/hillida01.html"
"228","Darnell Hillman",1972,1980,"/players/h/hillmda01.html"
"229","Fred Hilton",1972,1973,"/players/h/hiltofr01.html"
"230","Kirk Hinrich",2004,2016,"/players/h/hinriki01.html"
"231","Roy Hinson",1984,1991,"/players/h/hinsoro01.html"
"232","Mel Hirsch",1947,1947,"/players/h/hirscme01.html"
"233","Lew Hitch",1952,1957,"/players/h/hitchle01.html"
"234","Robert Hite",2007,2007,"/players/h/hitero01.html"
"235","Jaylen Hoard",2020,2020,"/players/h/hoardja01.html"
"236","Darington Hobson",2012,2012,"/players/h/hobsoda01.html"
"237","Donald Hodge",1992,1996,"/players/h/hodgedo01.html"
"238","Julius Hodge",2006,2007,"/players/h/hodgeju01.html"
"239","Craig Hodges",1983,1992,"/players/h/hodgecr01.html"
"240","Charlie Hoefer",1947,1948,"/players/h/hoefech01.html"
"241","Paul Hoffman",1948,1955,"/players/h/hoffmpa01.html"
"242","Bob Hogsett",1967,1968,"/players/h/hogsebo01.html"
"243","Paul Hogue",1963,1964,"/players/h/hoguedu01.html"
"244","Fred Hoiberg",1996,2005,"/players/h/hoibefr01.html"
"245","Doug Holcomb",1949,1949,"/players/h/holcodo01.html"
"246","Randy Holcomb",2006,2006,"/players/h/holcora01.html"
"247","Aaron Holiday",2019,2020,"/players/h/holidaa01.html"
"248","Jrue Holiday",2010,2020,"/players/h/holidjr01.html"
"249","Justin Holiday",2013,2020,"/players/h/holidju01.html"
"250","Brad Holland",1980,1982,"/players/h/hollabr01.html"
"251","Joe Holland",1950,1952,"/players/h/hollajo01.html"
"252","John Holland",2018,2019,"/players/h/hollajo02.html"
"253","Wilbur Holland",1976,1979,"/players/h/hollawi01.html"
"254","Lionel Hollins",1976,1985,"/players/h/hollili01.html"
"255","Ryan Hollins",2007,2016,"/players/h/holliry01.html"
"256","Essie Hollis",1979,1979,"/players/h/hollies01.html"
"257","Rondae Hollis-Jefferson",2016,2020,"/players/h/holliro01.html"
"258","Dennis Holman",1968,1968,"/players/h/holmade01.html"
"259","Richaun Holmes",2016,2020,"/players/h/holmeri01.html"
"260","Jim Holstein",1953,1956,"/players/h/holstji01.html"
"261","A.W. Holt",1971,1971,"/players/h/holtaw01.html"
"262","Mike Holton",1985,1990,"/players/h/holtomi01.html"
"263","Dick Holub",1948,1948,"/players/h/holubdi01.html"
"264","Joe Holup",1957,1959,"/players/h/holupjo01.html"
"265","Red Holzman*",1949,1954,"/players/h/holzmre01.html"
"266","Jerald Honeycutt",1998,1999,"/players/h/honeyje01.html"
"267","Tyler Honeycutt",2012,2013,"/players/h/honeyty01.html"
"268","Derek Hood",2000,2000,"/players/h/hoodde01.html"
"269","Rodney Hood",2015,2020,"/players/h/hoodro01.html"
"270","Bobby Hooper",1969,1969,"/players/h/hoopebo01.html"
"271","Carroll Hooser",1968,1968,"/players/h/hooseca01.html"
"272","Tom Hoover",1964,1969,"/players/h/hooveto01.html"
"273","Bob Hopkins",1957,1960,"/players/h/hopkibo01.html"
"274","Dave Hoppen",1988,1993,"/players/h/hoppeda01.html"
"275","Dennis Hopson",1988,1992,"/players/h/hopsode01.html"
"276","Scotty Hopson",2014,2018,"/players/h/hopsosc01.html"
"277","Johnny Horan",1956,1956,"/players/h/horanjo01.html"
"278","Cedrick Hordges",1981,1982,"/players/h/hordgce01.html"
"279","Al Horford",2008,2020,"/players/h/horfoal01.html"
"280","Tito Horford",1989,1994,"/players/h/horfoti01.html"
"281","Ron Horn",1962,1968,"/players/h/hornro01.html"
"282","Jeff Hornacek",1987,2000,"/players/h/hornaje01.html"
"283","Dennis Horner",2012,2012,"/players/h/hornede01.html"
"284","Robert Horry",1993,2008,"/players/h/horryro01.html"
"285","Ed Horton",1990,1990,"/players/h/hortoed01.html"
"286","Talen Horton-Tucker",2020,2020,"/players/h/hortota01.html"
"287","Bill Hosket",1969,1972,"/players/h/hoskebi01.html"
"288","Bob Houbregs*",1954,1958,"/players/h/houbrbo01.html"
"289","Danuel House",2017,2020,"/players/h/houseda01.html"
"290","Eddie House",2001,2011,"/players/h/houseed01.html"
"291","Allan Houston",1994,2005,"/players/h/houstal01.html"
"292","Byron Houston",1993,1996,"/players/h/houstby01.html"
"293","Tom Hovasse",1995,1995,"/players/h/hovasto01.html"
"294","Brian Howard",1992,1993,"/players/h/howarbr01.html"
"295","Dwight Howard",2005,2020,"/players/h/howardw01.html"
"296","Greg Howard",1971,1972,"/players/h/howargr01.html"
"297","Josh Howard",2004,2013,"/players/h/howarjo01.html"
"298","Juwan Howard",1995,2013,"/players/h/howarju01.html"
"299","Mo Howard",1977,1977,"/players/h/howarmo01.html"
"300","Otis Howard",1979,1979,"/players/h/howarot01.html"
"301","Stephen Howard",1993,1998,"/players/h/howarst01.html"
"302","William Howard",2020,2020,"/players/h/howarwi01.html"
"303","Bailey Howell*",1960,1971,"/players/h/howelba01.html"
"304","Bob Hubbard",1948,1949,"/players/h/hubbabo01.html"
"305","Phil Hubbard",1980,1989,"/players/h/hubbaph01.html"
"306","Lester Hudson",2010,2015,"/players/h/hudsole01.html"
"307","Lou Hudson",1967,1979,"/players/h/hudsolo01.html"
"308","Troy Hudson",1998,2008,"/players/h/hudsotr01.html"
"309","Marcelo Huertas",2016,2017,"/players/h/huertma01.html"
"310","Kevin Huerter",2019,2020,"/players/h/huertke01.html"
"311","Josh Huestis",2016,2018,"/players/h/huestjo01.html"
"312","Nate Huffman",2003,2003,"/players/h/huffmna01.html"
"313","Alfredrick Hughes",1986,1986,"/players/h/hugheri01.html"
"314","Eddie Hughes",1988,1990,"/players/h/hugheed01.html"
"315","Kim Hughes",1976,1981,"/players/h/hugheki01.html"
"316","Larry Hughes",1999,2012,"/players/h/hughela01.html"
"317","Rick Hughes",2000,2000,"/players/h/hugheri02.html"
"318","Robbie Hummel",2014,2015,"/players/h/hummero01.html"
"319","John Hummer",1971,1976,"/players/h/hummejo01.html"
"320","Ryan Humphrey",2003,2005,"/players/h/humphry01.html"
"321","Isaac Humphries",2019,2019,"/players/h/humphis01.html"
"322","Jay Humphries",1985,1995,"/players/h/humphja01.html"
"323","Kris Humphries",2005,2017,"/players/h/humphkr01.html"
"324","Hot Rod Hundley",1958,1963,"/players/h/hundlho01.html"
"325","Brandon Hunter",2004,2005,"/players/h/huntebr01.html"
"326","Cedric Hunter",1992,1992,"/players/h/huntece01.html"
"327","Chris Hunter",2010,2010,"/players/h/huntech01.html"
"328","De'Andre Hunter",2020,2020,"/players/h/huntede01.html"
"329","Les Hunter",1965,1973,"/players/h/huntele01.html"
"330","Lindsey Hunter",1994,2010,"/players/h/hunteli01.html"
"331","Othello Hunter",2009,2010,"/players/h/hunteot01.html"
"332","R.J. Hunter",2016,2019,"/players/h/hunterj01.html"
"333","Steven Hunter",2002,2010,"/players/h/huntest01.html"
"334","Vince Hunter",2018,2018,"/players/h/huntevi01.html"
"335","Bobby Hurley",1994,1998,"/players/h/hurlebo01.html"
"336","Roy Hurley",1947,1947,"/players/h/hurlero01.html"
"337","Geoff Huston",1980,1987,"/players/h/hustoge01.html"
"338","Paul Huston",1948,1948,"/players/h/hustopa01.html"
"339","Mel Hutchins",1952,1958,"/players/h/hutchme01.html"
"340","Chandler Hutchison",2019,2020,"/players/h/hutchch01.html"
"341","Joe Hutton",1951,1952,"/players/h/huttojo01.html"
"342","Greg Hyder",1971,1971,"/players/h/hydergr01.html"
