"","Player","From","To","plyrprofs"
"249","Freddie Crawford",1967,1971,"/players/c/crawffr01.html"
"250","Jamal Crawford",2001,2019,"/players/c/crawfja01.html"
"251","Joe Crawford",2009,2009,"/players/c/crawfjo01.html"
"252","Jordan Crawford",2011,2018,"/players/c/crawfjo02.html"
"253","Mitch Creek",2019,2019,"/players/c/creekmi01.html"
"254","Jim Creighton",1976,1976,"/players/c/creigji01.html"
"255","Ron Crevier",1986,1986,"/players/c/creviro01.html"
"256","Hal Crisler",1947,1947,"/players/c/crislha01.html"
"257","Joe Crispin",2002,2002,"/players/c/crispjo01.html"
"258","Charlie Criss",1978,1985,"/players/c/crissch01.html"
"259","Russell Critchfield",1969,1969,"/players/c/critcru01.html"
"260","Winston Crite",1988,1989,"/players/c/critewi01.html"
"261","Javaris Crittenton",2008,2009,"/players/c/crittja01.html"
"262","Dillard Crocker",1949,1953,"/players/c/crockdi01.html"
"263","Bobby Croft",1971,1971,"/players/c/croftbo01.html"
"264","Geoff Crompton",1979,1984,"/players/c/crompge01.html"
"265","Terry Crosby",1980,1980,"/players/c/crosbte01.html"
"266","Austin Croshere",1998,2009,"/players/c/croshau01.html"
"267","Jeff Cross",1986,1986,"/players/c/crossje01.html"
"268","Pete Cross",1971,1973,"/players/c/crosspe01.html"
"269","Russell Cross",1984,1984,"/players/c/crossru01.html"
"270","Chink Crossin",1948,1950,"/players/c/crossch01.html"
"271","John Crotty",1993,2003,"/players/c/crottjo01.html"
"272","Bill Crow",1968,1968,"/players/c/crowbi01.html"
"273","Mark Crow",1978,1978,"/players/c/crowma01.html"
"274","Corey Crowder",1992,1995,"/players/c/crowdco01.html"
"275","Jae Crowder",2013,2020,"/players/c/crowdja01.html"
"276","Al Cueto",1970,1971,"/players/c/cuetoal01.html"
"277","Jarrett Culver",2020,2020,"/players/c/culveja01.html"
"278","Pat Cummings",1980,1991,"/players/c/cummipa01.html"
"279","Terry Cummings",1983,2000,"/players/c/cummite01.html"
"280","Vonteego Cummings",2000,2002,"/players/c/cummivo01.html"
"281","Billy Cunningham*",1966,1976,"/players/c/cunnibi01.html"
"282","Dante Cunningham",2010,2019,"/players/c/cunnida01.html"
"283","Dick Cunningham",1969,1975,"/players/c/cunnidi01.html"
"284","Jared Cunningham",2013,2016,"/players/c/cunnija01.html"
"285","William Cunningham",1998,1999,"/players/c/cunniwi01.html"
"286","Radisav Curcic",1993,1993,"/players/c/curcira01.html"
"287","Armand Cure",1947,1947,"/players/c/curear01.html"
"288","Earl Cureton",1981,1997,"/players/c/curetea01.html"
"289","Bill Curley",1995,2001,"/players/c/curlebi01.html"
"290","Fran Curran",1949,1950,"/players/c/currafr01.html"
"291","Dell Curry",1987,2002,"/players/c/curryde01.html"
"292","Eddy Curry",2002,2013,"/players/c/curryed01.html"
"293","JamesOn Curry",2010,2010,"/players/c/curryja01.html"
"294","Michael Curry",1994,2005,"/players/c/currymi01.html"
"295","Seth Curry",2014,2020,"/players/c/curryse01.html"
"296","Stephen Curry",2010,2020,"/players/c/curryst01.html"
"297","Rastko Cvetkovic",1996,1996,"/players/c/cvetkra01.html"
